CNA,ErrorCode,ErrorName,ErrorCount
360ST,E007,check-invalid-version-string,1
360ST,E008,check-invalid-vendor-string,4
3DS,E004,check-leading-trailing-space,5
3DS,E007,check-invalid-version-string,316
42Gears,E004,check-leading-trailing-space,2
@huntr_ai,E004,check-leading-trailing-space,10
@huntr_ai,E007,check-invalid-version-string,20
@huntrdev,E004,check-leading-trailing-space,86
@huntrdev,E007,check-invalid-version-string,19
@huntrdev,E010,check-invalid-self-references,1
ABB,E004,check-leading-trailing-space,31
ABB,E007,check-invalid-version-string,197
AHA,E004,check-leading-trailing-space,1
AHA,E007,check-invalid-version-string,1
AMD,E004,check-leading-trailing-space,88
AMD,E006,check-affected-product-present,3
AMD,E007,check-invalid-version-string,1156
AMD,E008,check-invalid-vendor-string,6
AMI,E004,check-leading-trailing-space,25
AMZN,E007,check-invalid-version-string,1
ASR,E004,check-leading-trailing-space,4
ASR,E006,check-affected-product-present,3
ASRG,E004,check-leading-trailing-space,16
ASRG,E006,check-affected-product-present,1
ASRG,E007,check-invalid-version-string,2
ASUS,E007,check-invalid-version-string,26
ASUSTOR1,E004,check-leading-trailing-space,6
AlgoSec,E004,check-leading-trailing-space,2
AlgoSec,E007,check-invalid-version-string,2
Alias,E007,check-invalid-version-string,20
Anolis,E004,check-leading-trailing-space,6
Anolis,E007,check-invalid-version-string,1
Anolis,E008,check-invalid-vendor-string,1
Arista,E004,check-leading-trailing-space,4
Arista,E007,check-invalid-version-string,13
Arista,E008,check-invalid-vendor-string,1
Arm,E004,check-leading-trailing-space,16
Arm,E007,check-invalid-version-string,8
Axis,E004,check-leading-trailing-space,3
Axis,E007,check-invalid-version-string,56
Axis,E008,check-invalid-vendor-string,1
B.Braun,E004,check-leading-trailing-space,1
BD,E004,check-leading-trailing-space,2
BD,E007,check-invalid-version-string,23
BD,E008,check-invalid-vendor-string,1
BLSOPS,E004,check-leading-trailing-space,2
BT,E004,check-leading-trailing-space,2
BT,E010,check-invalid-self-references,1
Baicells,E004,check-leading-trailing-space,4
Baicells,E007,check-invalid-version-string,2
Baidu,E004,check-leading-trailing-space,25
Baxter,E007,check-invalid-version-string,10
Bitdefender,E004,check-leading-trailing-space,10
Bitdefender,E007,check-invalid-version-string,11
CERT-In,E004,check-leading-trailing-space,33
CERT-In,E007,check-invalid-version-string,61
CERT-PL,E004,check-leading-trailing-space,21
CERT-PL,E007,check-invalid-version-string,12
CERTVDE,E004,check-leading-trailing-space,47
CERTVDE,E007,check-invalid-version-string,959
CERTVDE,E008,check-invalid-vendor-string,2
CERTVDE,E009,check-invalid-product-string,2
CSW,E007,check-invalid-version-string,5
CSW,E008,check-invalid-vendor-string,10
Canon,E004,check-leading-trailing-space,8
Canon,E007,check-invalid-version-string,167
Canon_EMEA,E007,check-invalid-version-string,1
Carrier,E004,check-leading-trailing-space,1
Carrier,E007,check-invalid-version-string,1
Chrome,E002,check-duplicate-reference-url,2
Chrome,E007,check-invalid-version-string,1290
Chrome,E008,check-invalid-vendor-string,1260
Chrome,E009,check-invalid-product-string,1056
ChromeOS,E007,check-invalid-version-string,2
Ciena,E004,check-leading-trailing-space,1
Ciena,E007,check-invalid-version-string,19
Citrix,E004,check-leading-trailing-space,13
Citrix,E007,check-invalid-version-string,81
ConcreteCMS,E004,check-leading-trailing-space,3
ConnectWise,E007,check-invalid-version-string,2
CoolKit,E004,check-leading-trailing-space,1
Cybellum,E004,check-leading-trailing-space,1
Cybellum,E007,check-invalid-version-string,2
CyberDanube,E004,check-leading-trailing-space,2
CyberDanube,E007,check-invalid-version-string,5
DEVOLUTIONS,E004,check-leading-trailing-space,36
DEVOLUTIONS,E007,check-invalid-version-string,3
DIVD,E007,check-invalid-version-string,45
DeepSurface,E007,check-invalid-version-string,1
Dfinity,E004,check-leading-trailing-space,2
Digi,E007,check-invalid-version-string,1
Docker,E004,check-leading-trailing-space,8
Document Fdn.,E007,check-invalid-version-string,14
Dragos,E004,check-leading-trailing-space,1
Dragos,E007,check-invalid-version-string,9
EA,E007,check-invalid-version-string,1
EA,E008,check-invalid-vendor-string,1
EDB,E004,check-leading-trailing-space,1
ERIC,E004,check-leading-trailing-space,1
ESET,E004,check-leading-trailing-space,3
ESET,E006,check-affected-product-present,2
ESET,E007,check-invalid-version-string,3
Eaton,E004,check-leading-trailing-space,2
Eaton,E007,check-invalid-version-string,3
Esri,E004,check-leading-trailing-space,3
Esri,E007,check-invalid-version-string,17
F-SecureUS,E007,check-invalid-version-string,32
FSI,E007,check-invalid-version-string,1
Fidelis,E007,check-invalid-version-string,32
Fluid Attacks,E003,check-description-length,1
Fluid Attacks,E004,check-leading-trailing-space,100
Fluid Attacks,E007,check-invalid-version-string,5
Fluid Attacks,E008,check-invalid-vendor-string,76
Fortra,E004,check-leading-trailing-space,4
Fortra,E007,check-invalid-version-string,6
GE GP,E004,check-leading-trailing-space,1
GEHC,E007,check-invalid-version-string,1
GE_Vernova,E007,check-invalid-version-string,1
GRAFANA,E004,check-leading-trailing-space,4
GRAFANA,E007,check-invalid-version-string,25
Gallagher,E004,check-leading-trailing-space,16
Gallagher,E007,check-invalid-version-string,76
GandC,E004,check-leading-trailing-space,10
Genetec,E007,check-invalid-version-string,12
GitHub_M,E002,check-duplicate-reference-url,2
GitHub_M,E004,check-leading-trailing-space,525
GitHub_M,E007,check-invalid-version-string,12470
GitHub_M,E008,check-invalid-vendor-string,33
GitHub_M,E009,check-invalid-product-string,32
GitHub_P,E004,check-leading-trailing-space,33
GitLab,E007,check-invalid-version-string,1607
Google,E004,check-leading-trailing-space,24
Google,E006,check-affected-product-present,4
Google,E007,check-invalid-version-string,9
Google,E008,check-invalid-vendor-string,2
Google,E009,check-invalid-product-string,2
Google_Devices,E004,check-leading-trailing-space,7
Google_Devices,E007,check-invalid-version-string,152
GovTech CSG,E004,check-leading-trailing-space,2
GovTech CSG,E007,check-invalid-version-string,13
GovTech CSG,E008,check-invalid-vendor-string,3
GreenRocketSecurity,E004,check-leading-trailing-space,1
Gridware,E007,check-invalid-version-string,10
HCL,E004,check-leading-trailing-space,120
HCL,E007,check-invalid-version-string,263
HCL,E008,check-invalid-vendor-string,52
HITVAN,E004,check-leading-trailing-space,21
HYPR,E004,check-leading-trailing-space,6
HYPR,E007,check-invalid-version-string,1
Hanwha_Vision,E004,check-leading-trailing-space,3
Hanwha_Vision,E007,check-invalid-version-string,11
HeroDevs,E007,check-invalid-version-string,3
HiddenLayer,E004,check-leading-trailing-space,6
Hillstone,E007,check-invalid-version-string,1
Hitachi,E004,check-leading-trailing-space,32
Hitachi,E007,check-invalid-version-string,46
Hitachi Energy,E004,check-leading-trailing-space,23
Hitachi Energy,E007,check-invalid-version-string,413
Hitachi Energy,E008,check-invalid-vendor-string,3
Hitachi Energy,E009,check-invalid-product-string,3
Honeywell,E004,check-leading-trailing-space,26
Honeywell,E007,check-invalid-version-string,238
Honor,E004,check-leading-trailing-space,30
Honor,E007,check-invalid-version-string,2
ICT,E004,check-leading-trailing-space,1
IDEMIA,E004,check-leading-trailing-space,7
INCD,E004,check-leading-trailing-space,59
INCD,E007,check-invalid-version-string,289
INCD,E008,check-invalid-vendor-string,2
INCD,E009,check-invalid-product-string,2
INCIBE,E004,check-leading-trailing-space,20
INCIBE,E006,check-affected-product-present,3
INCIBE,E007,check-invalid-version-string,91
Illumio,E004,check-leading-trailing-space,1
JFROG,E004,check-leading-trailing-space,12
JFROG,E007,check-invalid-version-string,16
JetBrains,E004,check-leading-trailing-space,3
JetBrains,E007,check-invalid-version-string,21
Joomla,E007,check-invalid-version-string,11
Joomla,E008,check-invalid-vendor-string,1
KNIME,E004,check-leading-trailing-space,3
Kaspersky,E002,check-duplicate-reference-url,1
Kaspersky,E007,check-invalid-version-string,122
Kaspersky,E008,check-invalid-vendor-string,30
Kong,E007,check-invalid-version-string,1
KoreLogic,E007,check-invalid-version-string,4
LGE,E004,check-leading-trailing-space,4
LGE,E007,check-invalid-version-string,19
LGE,E008,check-invalid-vendor-string,6
LGE,E009,check-invalid-product-string,1
LINE,E007,check-invalid-version-string,7
Lexmark,E004,check-leading-trailing-space,4
Lexmark,E007,check-invalid-version-string,334
Liferay,E004,check-leading-trailing-space,1
Logitech,E006,check-affected-product-present,1
Logitech,E007,check-invalid-version-string,1
M-Files Corporation,E007,check-invalid-version-string,21
MIM,E004,check-leading-trailing-space,1
Mandiant,E004,check-leading-trailing-space,1
Mandiant,E007,check-invalid-version-string,1
Mandiant,E010,check-invalid-self-references,3
Mattermost,E004,check-leading-trailing-space,115
Mattermost,E007,check-invalid-version-string,18
Mautic,E007,check-invalid-version-string,47
MediaTek,E007,check-invalid-version-string,756
Medtronic,E004,check-leading-trailing-space,2
Medtronic,E007,check-invalid-version-string,4
Mend,E007,check-invalid-version-string,50
Mend,E008,check-invalid-vendor-string,52
Mitsubishi,E004,check-leading-trailing-space,7
Mitsubishi,E007,check-invalid-version-string,2901
Mitsubishi,E008,check-invalid-vendor-string,45
Moxa,E004,check-leading-trailing-space,20
N-able,E007,check-invalid-version-string,4
NCSC-NL,E004,check-leading-trailing-space,1
NCSC-NL,E007,check-invalid-version-string,1
NCSC.ch,E004,check-leading-trailing-space,24
NCSC.ch,E006,check-affected-product-present,3
NCSC.ch,E007,check-invalid-version-string,39
NEC,E004,check-leading-trailing-space,8
NEC,E007,check-invalid-version-string,876
NEC,E008,check-invalid-vendor-string,1
NEC,E009,check-invalid-product-string,1
NI,E004,check-leading-trailing-space,7
NI,E007,check-invalid-version-string,13
NLOK,E004,check-leading-trailing-space,6
NLOK,E007,check-invalid-version-string,22
NLOK,E008,check-invalid-vendor-string,1
NLnet Labs,E007,check-invalid-version-string,2
NX,E004,check-leading-trailing-space,1
NetMotion,E007,check-invalid-version-string,2
NetMotion,E008,check-invalid-vendor-string,2
Netskope,E004,check-leading-trailing-space,3
Netskope,E007,check-invalid-version-string,5
Nokia,E003,check-description-length,1
Nokia,E007,check-invalid-version-string,2
Nozomi,E007,check-invalid-version-string,66
ODA,E004,check-leading-trailing-space,1
OMRON,E007,check-invalid-version-string,17
ONEKEY,E004,check-leading-trailing-space,7
OPPO,E004,check-leading-trailing-space,2
OPPO,E007,check-invalid-version-string,10
OPPO,E008,check-invalid-vendor-string,12
OTRS,E004,check-leading-trailing-space,16
OTRS,E007,check-invalid-version-string,18
OX,E004,check-leading-trailing-space,36
Octopus,E004,check-leading-trailing-space,1
Octopus,E007,check-invalid-version-string,1
Okta,E007,check-invalid-version-string,6
Omnissa,E007,check-invalid-version-string,4
OpenHarmony,E004,check-leading-trailing-space,20
OpenNMS,E004,check-leading-trailing-space,9
OpenNMS,E007,check-invalid-version-string,1
OpenText,E004,check-leading-trailing-space,40
OpenText,E007,check-invalid-version-string,71
OpenText,E008,check-invalid-vendor-string,2
OpenVPN,E004,check-leading-trailing-space,1
OpenVPN,E007,check-invalid-version-string,23
OpenVPN,E008,check-invalid-vendor-string,14
Opera,E007,check-invalid-version-string,5
Opera,E008,check-invalid-vendor-string,4
PSF,E004,check-leading-trailing-space,3
Palantir,E004,check-leading-trailing-space,9
Palantir,E006,check-affected-product-present,2
Palantir,E007,check-invalid-version-string,3
Panasonic Corporation,E007,check-invalid-version-string,3
Panasonic_Holdings_Corporation,E007,check-invalid-version-string,4
PandoraFMS,E004,check-leading-trailing-space,1
PandoraFMS,E007,check-invalid-version-string,4
PaperCut,E004,check-leading-trailing-space,1
Patchstack,E004,check-leading-trailing-space,2024
Patchstack,E007,check-invalid-version-string,10886
Patchstack,E008,check-invalid-vendor-string,2
Patchstack,E009,check-invalid-product-string,2
Payara,E004,check-leading-trailing-space,1
Pega,E004,check-leading-trailing-space,4
Pega,E007,check-invalid-version-string,1
Pentraze,E004,check-leading-trailing-space,2
Pentraze,E007,check-invalid-version-string,2
Perforce,E004,check-leading-trailing-space,7
Perforce,E007,check-invalid-version-string,24
Philips,E007,check-invalid-version-string,3
Philips,E010,check-invalid-self-references,3
Phoenix,E004,check-leading-trailing-space,3
Ping Identity,E004,check-leading-trailing-space,6
Ping Identity,E007,check-invalid-version-string,1
Ping Identity,E008,check-invalid-vendor-string,1
Ping Identity,E009,check-invalid-product-string,1
PostgreSQL,E007,check-invalid-version-string,6
PostgreSQL,E008,check-invalid-vendor-string,11
ProgressSoftware,E004,check-leading-trailing-space,33
ProgressSoftware,E007,check-invalid-version-string,90
Proofpoint,E004,check-leading-trailing-space,9
Proofpoint,E007,check-invalid-version-string,61
PureStorage,E004,check-leading-trailing-space,6
PureStorage,E007,check-invalid-version-string,1
Qualys,E004,check-leading-trailing-space,7
Qualys,E007,check-invalid-version-string,3
Replicated,E007,check-invalid-version-string,1
Replicated,E008,check-invalid-vendor-string,1
Rockwell,E004,check-leading-trailing-space,63
Rockwell,E007,check-invalid-version-string,234
Rockwell,E008,check-invalid-vendor-string,2
SEC-VLab,E007,check-invalid-version-string,34
SEL,E004,check-leading-trailing-space,37
SICK AG,E004,check-leading-trailing-space,26
SICK AG,E007,check-invalid-version-string,167
SICK AG,E008,check-invalid-vendor-string,28
SK-CERT,E004,check-leading-trailing-space,2
SK-CERT,E007,check-invalid-version-string,8
SN,E004,check-leading-trailing-space,5
SN,E007,check-invalid-version-string,92
SNPS,E004,check-leading-trailing-space,4
SNPS,E007,check-invalid-version-string,28
SRA,E004,check-leading-trailing-space,2
STAR_Labs,E004,check-leading-trailing-space,7
SWI,E004,check-leading-trailing-space,7
SWI,E007,check-invalid-version-string,6
SWI,E008,check-invalid-vendor-string,2
SailPoint,E004,check-leading-trailing-space,1
SailPoint,E007,check-invalid-version-string,3
Salesforce,E007,check-invalid-version-string,21
Salesforce,E008,check-invalid-vendor-string,10
Samsung Mobile,E006,check-affected-product-present,1
Samsung Mobile,E007,check-invalid-version-string,1007
Samsung Mobile,E008,check-invalid-vendor-string,1
SamsungMobile,E007,check-invalid-version-string,243
Secomea,E004,check-leading-trailing-space,5
Silabs,E004,check-leading-trailing-space,16
Silabs,E007,check-invalid-version-string,2
Silver Peak,E007,check-invalid-version-string,16
Snow,E004,check-leading-trailing-space,4
Snow,E007,check-invalid-version-string,2
SoftIron,E004,check-leading-trailing-space,3
SolarWinds,E004,check-leading-trailing-space,53
SolarWinds,E007,check-invalid-version-string,173
Solidigm,E006,check-affected-product-present,8
Sophos,E004,check-leading-trailing-space,1
Sophos,E007,check-invalid-version-string,28
Sophos,E008,check-invalid-vendor-string,1
Sophos,E009,check-invalid-product-string,1
Splunk,E004,check-leading-trailing-space,11
Splunk,E007,check-invalid-version-string,48
Synaptics,E007,check-invalid-version-string,12
TECNOMobile,E007,check-invalid-version-string,2
THA-PSIRT,E004,check-leading-trailing-space,2
THA-PSIRT,E007,check-invalid-version-string,3
TML,E004,check-leading-trailing-space,32
TPLink,E007,check-invalid-version-string,1
TR-CERT,E004,check-leading-trailing-space,186
TR-CERT,E006,check-affected-product-present,1
TR-CERT,E007,check-invalid-version-string,21
TV,E004,check-leading-trailing-space,1
Temporal,E004,check-leading-trailing-space,3
Teradici,E007,check-invalid-version-string,16
Teradici,E008,check-invalid-vendor-string,20
Teradici,E009,check-invalid-product-string,2
TianoCore,E007,check-invalid-version-string,2
TianoCore,E008,check-invalid-vendor-string,1
Tigera,E004,check-leading-trailing-space,2
Toshiba,E007,check-invalid-version-string,43
Unisoc,E007,check-invalid-version-string,566
VDOO,E007,check-invalid-version-string,10
VDOO,E008,check-invalid-vendor-string,10
VDOO,E009,check-invalid-product-string,2
VULSec,E007,check-invalid-version-string,3
Vaadin,E004,check-leading-trailing-space,1
Vivo,E007,check-invalid-version-string,12
VulDB,E007,check-invalid-version-string,1024
VulDB,E008,check-invalid-vendor-string,797
VulnCheck,E004,check-leading-trailing-space,30
VulnCheck,E007,check-invalid-version-string,2
WDC PSIRT,E004,check-leading-trailing-space,15
WDC PSIRT,E007,check-invalid-version-string,43
WDC PSIRT,E008,check-invalid-vendor-string,1
WDC PSIRT,E009,check-invalid-product-string,1
WPScan,E007,check-invalid-version-string,14
WPScan,E008,check-invalid-vendor-string,11
